COMPANY NAME,CONTACT INFO,ADDRESS,ADDRESS2,CITY,County,POSTCODE,PHONE,Payment Terms,EMAIL
RSL,Russell ,"Unit 1E, Old Street",Bailie Gate Industrial Estate,Wimborne,Dorset,BH21 4DB,07894 259949,14,info@rslwelding.net
Sandbanks Construction,Tony ,24 Upper Golf Links Road,,Broadstone,Dorset,BH18 8BX,07508 608494,14,tony.sandbanksgc@gmail.com
S & B Motors,Simon,Unit 4 Warren Way,Holton Heath ,Poole,Dorset,BH16 6NJ,01202 625731,14,sbmotors@outlook.com
Sixpenny Forge,Rich,Manor Farm,Sixpenny Handley,Salisbury,Wiltshire,SP5 5NU,07766 203817,14,richard@sixpennyforge.co.uk
Solutions Group,Matt,Unit 10 Bridge Street,Bailie Gate Industrial Estate,Wimborne,Dorset,BH21 4DB,01202 982251,14,info@thesolutionsgroup.uk
Specialized Fabrication LTD,Matrtin World,Unit 4b Heritage Business Park,Heritage Way,Gosport,Hampshire,PO12 4BG,02392 604550,30,martin.world@specfabs.co.uk
South Elite Automotive,,Unit 15 Glenmore Business Park,Holton Heath,Poole ,Dorset,BH16 6NL,07888 643200,14,southeliteautomotive@gmail.com
Stour Forge,Dave Jones,Manor Farm,Charlton Marshall,Blandford,Dorset ,DT11 9NR, 07595 666233,14,stourforge@hotmail.co.uk
T & L Steel,Tony,Unit 2 Bessemer Close,Ebblake Industrial Est,Verwood,Dorset,BH31 6HZ,01202 285449,14,tlsteels@outlook.com
TG Welding LTD ,Simon,Stone Lane Industrial Estate,4 Stone Lane,Wimborne,Dorset,BH21 1HB,01202 881267,14,accounts@tgwelding.co.uk
Tonant Fabrications,Nigel ,26 Bridge Street,Bailie Gate Industrial Estate,Wimborne,Dorset,BH21 4DB,01258 857505,14,sales@tonant.co.uk
Toomers LTD,Carl Somerset,Unit 5 Batten Road,Downton Industrial Estate,Downton,Salisbury,SP5 3HU,01725 513733,30,accounts@toomersltd.co.uk
Trickett Welding,Nigel Trickett,48a Holton Road,Holton Heath,Poole,Dorset,BH16 6LT,01202 625050,14,info@trickettwelding.co.uk
Twisted Arc,Rich,Unit 3 Bungham Buildings,Knoll Farm,Bowerchalke,Salisbury,SP5 5BP,07932 649962,14,richtwisted@icloud.com
Walcot Metal Fabrication,Gary ,Unit 2 Leafield Industrial Estate,Leafield Industrial Estate,Corsham,Wiltshire,SN12 9SW,07581313788,14,accounts@walcotmetalfab.com
Weldaway,David,Millwey Rise Industial Estate,Weycroft Avenue,Axminster,Devon,EX13 5HU,07835 397885,14,weldawayaxminster@gmail.com
